[GNSSFGOBridge] Using gnssfgo JSONL mode: /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl -> /home/nvidia/Work/gnssfgo_ml_ws/osqa_output.jsonl
[GNSSFGODataReader] Started. Input: /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl, Output: /home/nvidia/Work/gnssfgo_ml_ws/osqa_output.jsonl
[GNSSFGODataProvider] Polling /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl for new epochs...
[OSQA] Started. Config: window=50, fusion=weighted, threshold=0.2
[OSQA Visualizer] updating epoch 1465021065.00, sats=33, mean_q=0.815
[OSQA Visualizer] updating epoch 1465021066.00, sats=32, mean_q=0.723
[OSQA Visualizer] updating epoch 1465021067.00, sats=32, mean_q=0.769
[OSQA Visualizer] updating epoch 1465021068.00, sats=32, mean_q=0.793
[OSQA Visualizer] updating epoch 1465021069.00, sats=31, mean_q=0.815
[OSQA Visualizer] updating epoch 1465021070.00, sats=31, mean_q=0.812
[OSQA Visualizer] updating epoch 1465021071.00, sats=33, mean_q=0.774
[OSQA Visualizer] updating epoch 1465021072.00, sats=33, mean_q=0.758
[OSQA Visualizer] updating epoch 1465021073.00, sats=33, mean_q=0.710
[OSQA Visualizer] updating epoch 1465021074.00, sats=32, mean_q=0.737
[OSQA Visualizer] updating epoch 1465021075.00, sats=32, mean_q=0.645
[OSQA Visualizer] updating epoch 1465021076.00, sats=32, mean_q=0.558
[OSQA Visualizer] updating epoch 1465021077.00, sats=31, mean_q=0.694
[OSQA Visualizer] updating epoch 1465021078.00, sats=32, mean_q=0.753
[OSQA Visualizer] updating epoch 1465021079.00, sats=32, mean_q=0.777
[OSQA Visualizer] updating epoch 1465021080.00, sats=32, mean_q=0.775
[OSQA Visualizer] updating epoch 1465021081.00, sats=33, mean_q=0.794
[OSQA Visualizer] updating epoch 1465021082.00, sats=31, mean_q=0.817
[OSQA Visualizer] updating epoch 1465021083.00, sats=31, mean_q=0.809
[OSQA Visualizer] updating epoch 1465021084.00, sats=32, mean_q=0.815
[OSQA Visualizer] updating epoch 1465021085.00, sats=33, mean_q=0.810
[OSQA Visualizer] updating epoch 1465021086.00, sats=33, mean_q=0.772
[OSQA Visualizer] updating epoch 1465021087.00, sats=32, mean_q=0.816
[OSQA Visualizer] updating epoch 1465021088.00, sats=32, mean_q=0.799
[OSQA Visualizer] updating epoch 1465021089.00, sats=32, mean_q=0.800
[OSQA Visualizer] updating epoch 1465021090.00, sats=32, mean_q=0.793
[OSQA Visualizer] updating epoch 1465021091.00, sats=32, mean_q=0.777
[OSQA Visualizer] updating epoch 1465021092.00, sats=32, mean_q=0.764
[OSQA Visualizer] updating epoch 1465021093.00, sats=32, mean_q=0.801
[OSQA Visualizer] updating epoch 1465021094.00, sats=32, mean_q=0.767
[OSQA Visualizer] updating epoch 1465021095.00, sats=33, mean_q=0.748
[OSQA Visualizer] updating epoch 1465021096.00, sats=33, mean_q=0.775
[OSQA Visualizer] updating epoch 1465021097.00, sats=32, mean_q=0.769
[OSQA Visualizer] updating epoch 1465021098.00, sats=32, mean_q=0.782
[OSQA Visualizer] updating epoch 1465021099.00, sats=32, mean_q=0.779
[OSQA Visualizer] updating epoch 1465021100.00, sats=32, mean_q=0.783
[OSQA Visualizer] updating epoch 1465021101.00, sats=32, mean_q=0.795
[OSQA Visualizer] updating epoch 1465021102.00, sats=32, mean_q=0.793
[OSQA Visualizer] updating epoch 1465021103.00, sats=32, mean_q=0.764
[OSQA Visualizer] updating epoch 1465021104.00, sats=32, mean_q=0.752
[OSQA Visualizer] updating epoch 1465021105.00, sats=32, mean_q=0.768
[OSQA Visualizer] updating epoch 1465021106.00, sats=32, mean_q=0.772
[OSQA Visualizer] updating epoch 1465021107.00, sats=34, mean_q=0.599
[OSQA Visualizer] updating epoch 1465021108.00, sats=32, mean_q=0.747
[OSQA Visualizer] updating epoch 1465021109.00, sats=31, mean_q=0.686
[OSQA Visualizer] updating epoch 1465021110.00, sats=32, mean_q=0.776
[OSQA Visualizer] updating epoch 1465021111.00, sats=32, mean_q=0.776
[OSQA Visualizer] updating epoch 1465021112.00, sats=32, mean_q=0.782
[OSQA Visualizer] updating epoch 1465021113.00, sats=33, mean_q=0.785
[OSQA Visualizer] updating epoch 1465021114.00, sats=33, mean_q=0.781
[OSQA Visualizer] updating epoch 1465021115.00, sats=33, mean_q=0.766
[OSQA Visualizer] updating epoch 1465021116.00, sats=34, mean_q=0.760
[OSQA Visualizer] updating epoch 1465021117.00, sats=33, mean_q=0.766
[OSQA Visualizer] updating epoch 1465021118.00, sats=33, mean_q=0.701
[OSQA Visualizer] updating epoch 1465021119.00, sats=33, mean_q=0.804
[OSQA Visualizer] updating epoch 1465021120.00, sats=33, mean_q=0.669
[OSQA Visualizer] updating epoch 1465021121.00, sats=33, mean_q=0.753
[OSQA Visualizer] updating epoch 1465021122.00, sats=33, mean_q=0.762
[OSQA Visualizer] updating epoch 1465021123.00, sats=33, mean_q=0.618
[OSQA Visualizer] updating epoch 1465021124.00, sats=33, mean_q=0.745
[OSQA Visualizer] updating epoch 1465021125.00, sats=33, mean_q=0.720
[OSQA Visualizer] updating epoch 1465021126.00, sats=33, mean_q=0.743
[OSQA Visualizer] updating epoch 1465021127.00, sats=33, mean_q=0.779
[OSQA Visualizer] updating epoch 1465021128.00, sats=33, mean_q=0.760
[OSQA Visualizer] updating epoch 1465021129.00, sats=33, mean_q=0.783
[OSQA Visualizer] updating epoch 1465021130.00, sats=33, mean_q=0.754
[OSQA Visualizer] updating epoch 1465021131.00, sats=33, mean_q=0.760
[OSQA Visualizer] updating epoch 1465021132.00, sats=33, mean_q=0.764
[OSQA Visualizer] updating epoch 1465021133.00, sats=33, mean_q=0.741
[OSQA Visualizer] updating epoch 1465021134.00, sats=33, mean_q=0.778
[OSQA Visualizer] updating epoch 1465021135.00, sats=33, mean_q=0.775
[OSQA Visualizer] updating epoch 1465021136.00, sats=33, mean_q=0.753
[OSQA Visualizer] updating epoch 1465021137.00, sats=35, mean_q=0.722
[OSQA Visualizer] updating epoch 1465021138.00, sats=34, mean_q=0.714
[OSQA Visualizer] updating epoch 1465021139.00, sats=32, mean_q=0.761
[OSQA Visualizer] updating epoch 1465021140.00, sats=32, mean_q=0.644
[OSQA Visualizer] updating epoch 1465021141.00, sats=33, mean_q=0.681
[OSQA Visualizer] updating epoch 1465021142.00, sats=32, mean_q=0.743
[OSQA Visualizer] updating epoch 1465021143.00, sats=34, mean_q=0.732
[OSQA Visualizer] updating epoch 1465021144.00, sats=33, mean_q=0.738
[OSQA Visualizer] updating epoch 1465021145.00, sats=33, mean_q=0.771
[OSQA Visualizer] updating epoch 1465021146.00, sats=34, mean_q=0.754
[OSQA Visualizer] updating epoch 1465021147.00, sats=33, mean_q=0.774
[OSQA Visualizer] updating epoch 1465021148.00, sats=31, mean_q=0.767
[OSQA Visualizer] updating epoch 1465021149.00, sats=33, mean_q=0.709
[OSQA Visualizer] updating epoch 1465021150.00, sats=32, mean_q=0.755
[OSQA Visualizer] updating epoch 1465021151.00, sats=33, mean_q=0.755
[OSQA Visualizer] updating epoch 1465021152.00, sats=32, mean_q=0.805
[OSQA Visualizer] updating epoch 1465021153.00, sats=32, mean_q=0.810
[OSQA Visualizer] updating epoch 1465021154.00, sats=32, mean_q=0.810
[OSQA Visualizer] updating epoch 1465021155.00, sats=31, mean_q=0.765
[OSQA Visualizer] updating epoch 1465021156.00, sats=30, mean_q=0.777
[OSQA Visualizer] updating epoch 1465021157.00, sats=30, mean_q=0.741
