timestamp,latitude,longitude,altitude,enu_x,enu_y,enu_z,cov_xx,cov_yy,cov_zz,trddcp_factor_count,opt_time
14650209640.039999,31.403251,121.264133,22.813627,-18.726986,-0.929566,5.772600,6.000000,6.000000,6.000000,0,16.790597
14650209650.039999,31.403241,121.264131,23.115046,-18.969578,-2.039366,6.074017,6.000000,6.000000,6.000000,0,9.028504
14650209660.039999,31.403243,121.264114,22.520854,-20.565584,-1.806746,5.479820,6.000000,6.000000,6.000000,0,8.754984
14650209670.039999,31.403243,121.264103,22.723229,-21.586247,-1.889739,5.682193,6.000000,6.000000,6.000000,0,30.245699
14650209680.039999,31.403240,121.264092,20.961516,-22.669433,-2.165273,3.920475,6.000000,6.000000,6.000000,0,18.659611
14650209690.039999,31.403237,121.264085,21.241812,-23.321305,-2.519495,4.200769,6.000000,6.000000,6.000000,0,9.907614
14650209700.039999,31.403230,121.264077,21.343248,-24.075125,-3.255946,4.302202,6.000000,6.000000,6.000000,0,10.832288
14650209710.039999,31.403227,121.264067,21.652432,-25.039254,-3.655920,4.611382,6.000000,6.000000,6.000000,0,18.088203
14650209720.039999,31.403226,121.264054,21.283252,-26.265155,-3.674860,4.242197,6.000000,6.000000,6.000000,0,13.927668
14650209730.039999,31.403225,121.264045,21.051751,-27.100500,-3.810491,4.010693,6.000000,6.000000,6.000000,0,9.663580
14650209740.039999,31.403225,121.264032,21.774204,-28.419885,-3.848861,4.733140,6.000000,6.000000,6.000000,0,9.938100
14650209750.039999,31.403224,121.264019,21.982010,-29.589233,-3.990269,4.940940,6.000000,6.000000,6.000000,0,14.719108
14650209760.039999,31.403220,121.264010,22.250328,-30.478366,-4.434760,5.209254,6.000000,6.000000,6.000000,0,17.129721
14650209770.039999,31.403219,121.264001,22.190167,-31.335249,-4.511256,5.149088,6.000000,6.000000,6.000000,0,13.066972
14650209780.039999,31.403217,121.263988,22.608337,-32.549450,-4.757264,5.567252,6.000000,6.000000,6.000000,0,27.812280
14650209790.039999,31.403216,121.263981,21.931417,-33.235948,-4.854625,4.890329,6.000000,6.000000,6.000000,0,10.889597
14650209800.039999,31.403217,121.263967,21.917208,-34.604494,-4.691147,4.876113,6.000000,6.000000,6.000000,0,18.630974
14650209810.039999,31.403215,121.263954,22.395789,-35.776352,-4.989892,5.354686,6.000000,6.000000,6.000000,0,9.363289
14650209820.039999,31.403212,121.263946,22.413921,-36.542725,-5.290377,5.372815,6.000000,6.000000,6.000000,0,15.685327
